design,procedure,participant,period,position,posture,support,precision,recall,f1
grouped_repetitions,all10_tuned,Pooled,all_rows,5,Right shoulder touch and twist,3600,0.3983797950917322,0.46444444444444444,0.42888290368090287
grouped_repetitions,all10_tuned,Pooled,all_rows,6,Both arms raise,3600,0.4876847290640394,0.605,0.5400446317877511
grouped_repetitions,all10_tuned,Pooled,all_rows,7,Forward bend,3601,0.48840109753055627,0.5437378505970564,0.5145860709592641
grouped_repetitions,all10_tuned,Pooled,all_rows,8,Sitting,3599,0.42172687676146553,0.45734926368435674,0.4388163156491602
grouped_repetitions,all10_tuned,Pooled,held_only,1,Standing straight,21001,0.5189425728329936,0.41221846578734345,0.45946448000424595
grouped_repetitions,all10_tuned,Pooled,held_only,2,Left arm raise,2995,0.5678887484197219,0.7499165275459099,0.6463309352517986
grouped_repetitions,all10_tuned,Pooled,held_only,3,Right arm raise,2995,0.46015155474261826,0.5879799666110184,0.5162708883025505
grouped_repetitions,all10_tuned,Pooled,held_only,4,Left shoulder touch and twist,3001,0.395653189997663,0.5641452849050317,0.4651098901098902
grouped_repetitions,all10_tuned,Pooled,held_only,5,Right shoulder touch and twist,3005,0.4396294082486551,0.48951747088186354,0.4632341363564793
grouped_repetitions,all10_tuned,Pooled,held_only,6,Both arms raise,3006,0.5197493870879869,0.6347305389221557,0.5715141530627528
grouped_repetitions,all10_tuned,Pooled,held_only,7,Forward bend,3001,0.5376035691523263,0.5621459513495501,0.5496009122006842
grouped_repetitions,all10_tuned,Pooled,held_only,8,Sitting,3005,0.43587270973963355,0.4512479201331115,0.4434270765206017
grouped_repetitions,all10_tuned,P01,all_rows,1,Standing straight,8476,0.5113508291740461,0.37470504955167533,0.43249131885340786
grouped_repetitions,all10_tuned,P01,all_rows,2,Left arm raise,1223,0.4460325283390833,0.7399836467702371,0.5565805658056581
grouped_repetitions,all10_tuned,P01,all_rows,3,Right arm raise,1199,0.4353448275862069,0.5896580483736447,0.5008855827134254
grouped_repetitions,all10_tuned,P01,all_rows,4,Left shoulder touch and twist,1202,0.3851239669421488,0.5815307820299501,0.46337421279416646
grouped_repetitions,all10_tuned,P01,all_rows,5,Right shoulder touch and twist,1199,0.43345195729537367,0.5079232693911593,0.46774193548387094
grouped_repetitions,all10_tuned,P01,all_rows,6,Both arms raise,1199,0.4276595744680851,0.5029190992493745,0.46224607129168266
grouped_repetitions,all10_tuned,P01,all_rows,7,Forward bend,1203,0.5294964028776978,0.6118038237738986,0.5676822213652142
grouped_repetitions,all10_tuned,P01,all_rows,8,Sitting,1199,0.43996062992125984,0.37281067556296915,0.40361173814898427
grouped_repetitions,all10_tuned,P01,held_only,1,Standing straight,6980,0.5489625045504186,0.4320916905444126,0.48356581689915024
grouped_repetitions,all10_tuned,P01,held_only,2,Left arm raise,1001,0.47319201995012466,0.7582417582417582,0.582725527831094
grouped_repetitions,all10_tuned,P01,held_only,3,Right arm raise,998,0.48314606741573035,0.6032064128256514,0.5365418894830659
grouped_repetitions,all10_tuned,P01,held_only,4,Left shoulder touch and twist,1005,0.4178595773687798,0.609950248756219,0.49595469255663427
