design,procedure,period,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1
grouped_repetitions,all10_default,all_rows,0.46801880121701894,0.32896031250214314,0.43673102725672414,0.32896031250214314,0.36456543777257006
grouped_repetitions,all10_default,held_only,0.5094021003246714,0.3460191942649929,0.5159486049471712,0.3460191942649929,0.3948660519028408
grouped_repetitions,all10_tuned,all_rows,0.46062221263706843,0.5346883460190491,0.45079222596237783,0.5346883460190491,0.4832456708346675
grouped_repetitions,all10_tuned,held_only,0.4946395171611589,0.556483027017251,0.485160215607763,0.556483027017251,0.5127482699920489
grouped_repetitions,triplet_default,all_rows,0.4328904420416984,0.32992214042169704,0.3608819789442788,0.32992214042169704,0.3417860987749564
grouped_repetitions,triplet_default,held_only,0.45468147222231153,0.342070976791635,0.3879802273989243,0.342070976791635,0.3591694310880651
random_rows,all10_default,all_rows,0.9477370057876509,0.9360369736106358,0.956535075635756,0.9360369736106358,0.9459528397035765
random_rows,all10_default,held_only,0.9729421561904147,0.9667432679065229,0.9780801651876082,0.9667432679065229,0.9722528992082466
random_rows,all10_tuned,all_rows,0.9616408436284213,0.9533560077907274,0.9683419371177905,0.9533560077907274,0.9606470225186362
random_rows,all10_tuned,held_only,0.9808579927047941,0.9782538185692621,0.9828897590282045,0.9782538185692621,0.9804854767777216
random_rows,triplet_default,all_rows,0.7383890251066553,0.6821813204141142,0.7305131066958551,0.6821813204141142,0.7030500552763748
random_rows,triplet_default,held_only,0.7650514599027597,0.7103253541503639,0.7599925641318332,0.7103253541503639,0.7318324653023339
