design,procedure,participant,period,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,n_test,n_correct
grouped_repetitions,all10_default,Pooled,all_rows,0.4680183822804284,0.3290126733082328,0.4373935833551995,0.3290126733082328,0.3679414111842391,50701,23729
grouped_repetitions,all10_default,Pooled,held_only,0.5093908448189673,0.3459869731654837,0.5090093141493403,0.3459869731654837,0.3988030811943602,42009,21399
grouped_repetitions,all10_default,P01,all_rows,0.4807692307692308,0.3382597429809991,0.44393430629704544,0.3382597429809991,0.372969915510885,16900,8125
grouped_repetitions,all10_default,P01,held_only,0.5319179355207663,0.36047707714965815,0.5387961012799034,0.36047707714965815,0.4098607971952768,13989,7441
grouped_repetitions,all10_default,P02,all_rows,0.47650887573964495,0.3361418983006914,0.45034401348811137,0.3361418983006914,0.3749392724905196,16900,8053
grouped_repetitions,all10_default,P02,held_only,0.5064239828693791,0.3398739858022898,0.5101227625373173,0.3398739858022898,0.38902118992440704,14010,7095
grouped_repetitions,all10_default,P03,all_rows,0.4467782971421809,0.3124792962247388,0.41591476198501554,0.3124792962247388,0.3457871253163056,16901,7551
grouped_repetitions,all10_default,P03,held_only,0.48986438258386866,0.33770651984303085,0.49892695102429274,0.33770651984303085,0.38571616858883856,14010,6863
grouped_repetitions,all10_tuned,Pooled,all_rows,0.4606220784599909,0.5347365135815427,0.4504089194405253,0.5347365135815427,0.48451369476796236,50701,23354
grouped_repetitions,all10_tuned,Pooled,held_only,0.4946321026446714,0.556487765766998,0.4844363925276999,0.556487765766998,0.5143690589761254,42009,20779
grouped_repetitions,all10_tuned,P01,all_rows,0.4663905325443787,0.5351667993378636,0.45105258957548766,0.5351667993378636,0.4818267058070512,16900,7882
grouped_repetitions,all10_tuned,P01,held_only,0.5094717277861177,0.5672465462868709,0.4960449890101698,0.5672465462868709,0.5218476636341483,13989,7127
grouped_repetitions,all10_tuned,P02,all_rows,0.46165680473372783,0.522739285067406,0.4556295036274068,0.522739285067406,0.48367817449977596,16900,7802
grouped_repetitions,all10_tuned,P02,held_only,0.48729478943611704,0.5268911206322704,0.4786676476160016,0.5268911206322704,0.4989837092165128,14010,6827
grouped_repetitions,all10_tuned,P03,all_rows,0.4538193006330986,0.5461589536518777,0.4456945846842392,0.5461589536518777,0.4842321321971755,16901,7670
grouped_repetitions,all10_tuned,P03,held_only,0.487152034261242,0.5753114141326117,0.48076801019711757,0.5753114141326117,0.5174134371254858,14010,6825
grouped_repetitions,triplet_default,Pooled,all_rows,0.43289087000256404,0.33000961924879757,0.36291162784645736,0.33000961924879757,0.34416109422875785,50701,21948
grouped_repetitions,triplet_default,Pooled,held_only,0.45468828108262516,0.3420615872610651,0.3897824599302287,0.3420615872610651,0.3618663374867738,42009,19101
grouped_repetitions,triplet_default,P01,all_rows,0.42650887573964497,0.329572202479609,0.35678015821729636,0.329572202479609,0.34077110280664336,16900,7208
grouped_repetitions,triplet_default,P01,held_only,0.44106083351204517,0.3325502629227971,0.37431596055770033,0.3325502629227971,0.34886672331925445,13989,6170
grouped_repetitions,triplet_default,P02,all_rows,0.4175739644970414,0.33022714903338446,0.36616635331157715,0.33022714903338446,0.34545610729112175,16900,7057
grouped_repetitions,triplet_default,P02,held_only,0.44182726623840113,0.34121698441206155,0.39538905763785004,0.34121698441206155,0.36310399890152095,14010,6190
grouped_repetitions,triplet_default,P03,all_rows,0.45458848588840894,0.32996706975209766,0.35969942530396287,0.32996706975209766,0.3391310862271042,16901,7683
grouped_repetitions,triplet_default,P03,held_only,0.48115631691648825,0.3524456830400464,0.3942356640012225,0.3524456830400464,0.3655375710434199,14010,6741
random_rows,all10_default,Pooled,all_rows,0.9477369095749926,0.9360444295239053,0.9564697638101551,0.9360444295239053,0.946053998948049,10141,9611
random_rows,all10_default,Pooled,held_only,0.972950626033546,0.9667073068502492,0.9780592592602042,0.9667073068502492,0.9723146190157037,8466,8237
random_rows,all10_default,P01,all_rows,0.9514792899408284,0.9424634319670827,0.9585315242172654,0.9424634319670827,0.9502077247339751,3380,3216
random_rows,all10_default,P01,held_only,0.9651865008880994,0.9554181004358537,0.9734615587772506,0.9554181004358537,0.9642000085812452,2815,2717
random_rows,all10_default,P02,all_rows,0.9449704142011834,0.9321371880988047,0.9536908168987062,0.9321371880988047,0.942566607661141,3380,3194
random_rows,all10_default,P02,held_only,0.9865486725663717,0.985416335172111,0.9869351686356832,0.985416335172111,0.9861408953916362,2825,2787
random_rows,all10_default,P03,all_rows,0.9467613132209406,0.9335103007660198,0.9573828857912967,0.9335103007660198,0.9450841867156135,3381,3201
random_rows,all10_default,P03,held_only,0.9670912951167728,0.9593953681116039,0.9738437681498907,0.9593953681116039,0.9664177936518583,2826,2733
random_rows,all10_tuned,Pooled,all_rows,0.961640863820136,0.9533552373815348,0.9683004983435511,0.9533552373815348,0.9607157499120822,10141,9752
random_rows,all10_tuned,Pooled,held_only,0.9808646350106307,0.9782293696277222,0.9828707539861098,0.9782293696277222,0.9805130841095758,8466,8304
random_rows,all10_tuned,P01,all_rows,0.964792899408284,0.9569269871122286,0.970885093134684,0.9569269871122286,0.9637607857624753,3380,3261
random_rows,all10_tuned,P01,held_only,0.974777975133215,0.9688994040440129,0.9793134227888555,0.9688994040440129,0.973967074685397,2815,2744
random_rows,all10_tuned,P02,all_rows,0.9582840236686391,0.9466364619999557,0.9675655388545473,0.9466364619999557,0.9567907758679661,3380,3239
random_rows,all10_tuned,P02,held_only,0.9915044247787611,0.9913809355977066,0.9909673487044215,0.9913809355977066,0.9911608050794314,2825,2801
random_rows,all10_tuned,P03,all_rows,0.9618456078083407,0.9565045742599978,0.9665751793641403,0.9565045742599978,0.9613895059254676,3381,3252
random_rows,all10_tuned,P03,held_only,0.9762915782024062,0.9744811160660666,0.9783885055913365,0.9744811160660666,0.9763285505683363,2826,2759
random_rows,triplet_default,Pooled,all_rows,0.7383887190612366,0.6822796520965047,0.7304221415110986,0.6822796520965047,0.7040591893739148,10141,7488
random_rows,triplet_default,Pooled,held_only,0.7650602409638554,0.7107163100405862,0.7596521622651526,0.7107163100405862,0.732813893278623,8466,6477
random_rows,triplet_default,P01,all_rows,0.742603550295858,0.7084579100357189,0.7336632031076664,0.7084579100357189,0.718653051759093,3380,2510
random_rows,triplet_default,P01,held_only,0.7566607460035524,0.7157032068822622,0.7558693464762656,0.7157032068822622,0.7324929837320581,2815,2130
random_rows,triplet_default,P02,all_rows,0.7372781065088757,0.6786764653883146,0.7338936045878555,0.6786764653883146,0.7021933408138584,3380,2492
random_rows,triplet_default,P02,held_only,0.7830088495575221,0.7293347057919964,0.7807296683655995,0.7293347057919964,0.7517658637521548,2825,2212
random_rows,triplet_default,P03,all_rows,0.7352854185152322,0.6594095858183087,0.7239825123920435,0.6594095858183087,0.688303773256173,3381,2486
random_rows,triplet_default,P03,held_only,0.7554847841472045,0.6859381497768333,0.7433786775536344,0.6859381497768333,0.7112385484227888,2826,2135
